rho,X1,X08,X06,X04,X02,X00001
0.04,-7.2341,-7.1131,-6.6212,-5.433,-2.8758,2.5682
0.0497,-8.7285,-8.5832,-7.9929,-6.5666,-3.4973,3.0371
0.0595,-10.0575,-9.8885,-9.2021,-7.5438,-3.9749,3.6228
0.0692,-11.2309,-11.0388,-10.2582,-8.3724,-4.314,4.3259
0.079,-12.2578,-12.0429,-11.1697,-9.0602,-4.5204,5.1443
0.0887,-13.1461,-12.9087,-11.9443,-9.6143,-4.5999,6.0753
0.0985,-13.903,-13.6434,-12.5888,-10.041,-4.5578,7.1153
0.1082,-14.5348,-14.2532,-13.1095,-10.3461,-4.3993,8.261
0.118,-15.0471,-14.7438,-13.5117,-10.5349,-4.1288,9.5091
0.1277,-15.4449,-15.1201,-13.8004,-10.6121,-3.7507,10.8564
0.1375,-15.7329,-15.3866,-13.9801,-10.5819,-3.2689,12.2999
0.1472,-15.9151,-15.5476,-14.0548,-10.4483,-2.6868,13.8367
0.157,-15.9953,-15.6067,-14.0283,-10.2147,-2.0077,15.4641
0.1667,-15.977,-15.5675,-13.9039,-9.8846,-1.2348,17.1796
0.1765,-15.8633,-15.433,-13.6847,-9.4608,-0.3708,18.9809
0.1862,-15.6572,-15.2062,-13.3736,-8.9462,0.5817,20.8657
0.196,-15.3614,-14.8897,-12.9734,-8.3435,1.6202,22.832
0.2057,-14.9784,-14.4861,-12.4864,-7.655,2.7425,24.8777
0.2155,-14.5105,-13.9978,-11.915,-6.8829,3.9464,27.001
0.2252,-13.96,-13.4269,-11.2614,-6.0294,5.23,29.2002
0.235,-13.3288,-12.7755,-10.5275,-5.0965,6.5913,31.4735
0.2447,-12.619,-12.0454,-9.7154,-4.0861,8.0286,33.8194
0.2545,-11.8323,-11.2386,-8.8268,-2.9998,9.5401,36.2364
0.2642,-10.9705,-10.3567,-7.8634,-1.8394,11.1244,38.7231
0.2739,-10.0351,-9.4014,-6.8267,-0.6065,12.7799,41.2782
0.2837,-9.0278,-8.3741,-5.7185,0.6976,14.5052,43.9002
0.2934,-7.9499,-7.2763,-4.5399,2.0713,16.2989,46.5881
0.3032,-6.8029,-6.1095,-3.2926,3.5133,18.1597,49.3405
0.3129,-5.5881,-4.8749,-1.9776,5.0223,20.0864,52.1565
0.3227,-4.3067,-3.5738,-0.5964,6.5971,22.0779,55.0349
0.3324,-2.96,-2.2074,0.85,8.2366,24.1329,57.9747
0.3422,-1.549,-0.7768,2.3603,9.9396,26.2505,60.9748
0.3519,-0.0749,0.7169,3.9335,11.705,28.4295,64.0344
0.3617,1.4613,2.2726,5.5686,13.5319,30.6691,67.1526
0.3714,3.0585,3.8893,7.2646,15.4191,32.9682,70.3284
0.3812,4.7159,5.5661,9.0204,17.3659,35.3259,73.561
0.3909,6.4324,7.3021,10.8352,19.3713,37.7414,76.8495
